numero_venda;data;produto;quantidade;valor_total
10001;2026-05-21;Carvao 5kg;6;118.44
10001;2026-05-21;Carne Bovina kg;6;366.06
10001;2026-05-21;Cerveja Lata;1;5.27
10001;2026-05-21;Cafe 500g;1;12.39
10001;2026-05-21;Acucar 5kg;2;40.66
10002;2026-05-20;Carvao 5kg;4;112.08
10002;2026-05-20;Carne Bovina kg;1;56.08
10002;2026-05-20;Sabao em Po;2;35.54
10002;2026-05-20;Cafe 500g;3;46.83
10003;2026-05-07;Cafe 500g;1;16.67
10003;2026-05-07;Acucar 5kg;3;72.12
10003;2026-05-07;Macarrao 500g;1;6.65
10004;2026-05-18;Carvao 5kg;5;165.25
10004;2026-05-18;Carne Bovina kg;3;148.08
10004;2026-05-18;Acucar 5kg;6;112.2
10004;2026-05-18;Frango kg;6;76.38
10004;2026-05-18;Leite 1L;3;23.82
10004;2026-05-18;Macarrao 500g;2;14.66
10005;2026-05-13;Carvao 5kg;2;58.78
10005;2026-05-13;Cerveja Lata;6;37.86
10005;2026-05-13;Pao de Forma;6;38.58
10005;2026-05-13;Agua Mineral 1,5L;6;15.06
10005;2026-05-13;Papel Higienico;6;65.64
10006;2026-05-15;Cerveja Lata;1;5.92
10006;2026-05-15;Frango kg;4;52.84
10006;2026-05-15;Feijao 1kg;2;22.96
10006;2026-05-15;Cafe 500g;5;116.95
10006;2026-05-15;Oleo 900ml;3;19.47
10007;2026-05-16;Leite 1L;6;37.5
10007;2026-05-16;Carvao 5kg;3;92.1
10007;2026-05-16;Agua Mineral 1,5L;4;18.76
10007;2026-05-16;Cafe 500g;4;66.84
10008;2026-05-05;Feijao 1kg;1;6.92
10009;2026-05-06;Acucar 5kg;4;93.16
10009;2026-05-06;Macarrao 500g;5;36.5
10009;2026-05-06;Papel Higienico;1;16.16
10009;2026-05-06;Carne Bovina kg;1;53.22
10010;2026-05-18;Cafe 500g;2;35.8
10010;2026-05-18;Carne Bovina kg;6;362.46
10010;2026-05-18;Oleo 900ml;3;35.4
10011;2026-05-25;Carvao 5kg;6;159.78
10011;2026-05-25;Carne Bovina kg;2;67.32
10011;2026-05-25;Linguica kg;2;41.26
10012;2026-05-25;Frango kg;4;40.92
10013;2026-05-30;Cerveja Lata;5;31.7
10013;2026-05-30;Feijao 1kg;1;10.39
10013;2026-05-30;Agua Mineral 1,5L;1;4.93
10014;2026-05-18;Sabao em Po;3;46.17
10014;2026-05-18;Pao de Forma;5;42.7
10015;2026-05-07;Carne Bovina kg;6;312.3
10015;2026-05-07;Macarrao 500g;4;30.0
10016;2026-05-15;Carvao 5kg;1;28.0
10016;2026-05-15;Carne Bovina kg;2;99.54
10016;2026-05-15;Acucar 5kg;1;18.71
10016;2026-05-15;Pao de Forma;6;38.1
10017;2026-05-03;Acucar 5kg;3;74.07
10017;2026-05-03;Papel Higienico;2;28.94
10017;2026-05-03;Cerveja Lata;6;37.86
10018;2026-05-19;Sabao em Po;2;18.64
10018;2026-05-19;Oleo 900ml;6;48.12
10019;2026-05-14;Cafe 500g;1;17.23
10020;2026-05-11;Cerveja Lata;2;8.14
10021;2026-05-15;Carvao 5kg;2;65.74
10021;2026-05-15;Carne Bovina kg;1;44.4
10021;2026-05-15;Frango kg;5;55.85
10021;2026-05-15;Cerveja Lata;6;39.0
10022;2026-05-27;Carvao 5kg;2;49.82
10022;2026-05-27;Carne Bovina kg;4;143.64
10022;2026-05-27;Cerveja Lata;4;24.84
10023;2026-05-06;Carvao 5kg;6;205.62
10023;2026-05-06;Detergente;5;19.95
10023;2026-05-06;Carne Bovina kg;4;134.92
10023;2026-05-06;Refrigerante 2L;3;25.56
10024;2026-05-02;Feijao 1kg;4;36.08
10024;2026-05-02;Frango kg;5;59.45
10024;2026-05-02;Agua Mineral 1,5L;5;11.2
10024;2026-05-02;Arroz 5kg;2;45.78
10024;2026-05-02;Carne Bovina kg;1;52.98
10025;2026-05-08;Cerveja Lata;5;26.0
10025;2026-05-08;Feijao 1kg;3;34.83
10025;2026-05-08;Acucar 5kg;2;49.4
10025;2026-05-08;Refrigerante 2L;3;26.01
10025;2026-05-08;Frango kg;4;46.28
10026;2026-05-21;Carvao 5kg;5;174.85
10026;2026-05-21;Cerveja Lata;1;3.72
10026;2026-05-21;Acucar 5kg;2;46.12
10026;2026-05-21;Arroz 5kg;2;68.26
10026;2026-05-21;Carne Bovina kg;1;60.53
10027;2026-05-12;Carvao 5kg;5;90.65
10027;2026-05-12;Cerveja Lata;5;22.0
10027;2026-05-12;Linguica kg;6;81.96
10027;2026-05-12;Agua Mineral 1,5L;2;5.58
10027;2026-05-12;Detergente;1;4.23
10027;2026-05-12;Macarrao 500g;2;8.72
10028;2026-05-20;Carvao 5kg;3;79.77
10028;2026-05-20;Cerveja Lata;3;18.66
10028;2026-05-20;Refrigerante 2L;1;7.65
10028;2026-05-20;Macarrao 500g;4;28.6
10028;2026-05-20;Papel Higienico;1;8.04
10029;2026-05-25;Carvao 5kg;5;150.0
10029;2026-05-25;Carne Bovina kg;5;141.8
10029;2026-05-25;Pao de Forma;1;11.67
10029;2026-05-25;Oleo 900ml;6;67.98
10029;2026-05-25;Cerveja Lata;5;18.05
10030;2026-05-12;Oleo 900ml;1;7.16
10030;2026-05-12;Leite 1L;1;7.6
10031;2026-05-07;Linguica kg;5;130.75
10032;2026-05-14;Cerveja Lata;2;12.28
10032;2026-05-14;Pao de Forma;1;7.08
10033;2026-05-30;Cerveja Lata;6;22.92
10033;2026-05-30;Carvao 5kg;1;32.6
10033;2026-05-30;Pao de Forma;2;14.4
10033;2026-05-30;Macarrao 500g;4;19.0
10034;2026-05-27;Cerveja Lata;6;24.48
10034;2026-05-27;Arroz 5kg;3;76.86
10035;2026-05-03;Linguica kg;6;166.2
10035;2026-05-03;Papel Higienico;5;59.85
10035;2026-05-03;Macarrao 500g;1;3.58
10036;2026-05-09;Carvao 5kg;4;95.52
10036;2026-05-09;Carne Bovina kg;3;132.45
10036;2026-05-09;Feijao 1kg;5;33.45
10036;2026-05-09;Agua Mineral 1,5L;5;12.85
10036;2026-05-09;Linguica kg;1;23.34
10037;2026-05-01;Refrigerante 2L;3;34.08
10037;2026-05-01;Linguica kg;6;153.42
10037;2026-05-01;Oleo 900ml;6;67.8
10037;2026-05-01;Feijao 1kg;5;39.3
10037;2026-05-01;Frango kg;4;55.64
10038;2026-05-23;Carvao 5kg;6;203.94
10038;2026-05-23;Cerveja Lata;6;34.44
10038;2026-05-23;Refrigerante 2L;2;22.62
10038;2026-05-23;Agua Mineral 1,5L;3;9.66
10039;2026-05-27;Carvao 5kg;5;141.55
10039;2026-05-27;Carne Bovina kg;3;135.6
10039;2026-05-27;Refrigerante 2L;4;46.92
10039;2026-05-27;Agua Mineral 1,5L;5;17.1
10039;2026-05-27;Detergente;6;15.06
10040;2026-05-03;Carvao 5kg;6;139.68
10040;2026-05-03;Cerveja Lata;2;7.88
10040;2026-05-03;Macarrao 500g;1;4.22
10040;2026-05-03;Feijao 1kg;4;38.68
10040;2026-05-03;Sabao em Po;1;14.38
10040;2026-05-03;Detergente;6;22.38
10040;2026-05-03;Cafe 500g;6;126.3
10041;2026-05-16;Arroz 5kg;4;99.36
10041;2026-05-16;Cafe 500g;6;112.38
10042;2026-05-02;Detergente;2;8.8
10043;2026-05-22;Frango kg;4;83.08
10043;2026-05-22;Detergente;6;27.48
10043;2026-05-22;Oleo 900ml;4;27.24
10043;2026-05-22;Sabao em Po;2;39.52
